,birth_date,birth_place,death_date,education,gender,occupation,viaf,wkp
144,1867-09-17T00:00:00Z,Matsuyama,1902-09-19T00:00:00Z,University of Tokyo,male,poet,76319806,Q315152
145,1867-04-15T00:00:00Z,Wakayama,1941-12-29T00:00:00Z,Michigan State University,male,biologist,32152582,Q6862791
146,0688-01-01T00:00:00Z,,0763-06-29T00:00:00Z,,male,bhikkhu,30847046,Q714061
147,1864-03-09T00:00:00Z,,1934-02-04T00:00:00Z,,male,,22072551,Q11516769
148,1041-01-01T00:00:00Z,,1111-12-07T00:00:00Z,,male,poet,47072959,Q3135978
149,1522-03-10T00:00:00Z,,1564-08-10T00:00:00Z,,male,samurai,75913074,Q1064909
150,0944-01-01T00:00:00Z,,1021-08-29T00:00:00Z,,male,,60654514,Q590523
151,1879-08-24T00:00:00Z,Tokyo,1903-06-29T00:00:00Z,Tokyo University of the Arts,male,composer,44569100,Q717957
152,1751-09-09T00:00:00Z,Edo,1822-04-02T00:00:00Z,,male,samurai,18608713,Q1194899
153,0706-01-01T00:00:00Z,,0764-01-01T00:00:00Z,,male,poet,44176592,Q540305
154,1794-07-19T00:00:00Z,,1851-03-12T00:00:00Z,,male,samurai,34344043,Q2975848
155,1277-01-01T00:00:00Z,,1350-02-26T00:00:00Z,,male,bushi,254472185,Q2828933
156,1381-01-01T00:00:00Z,,1441-10-04T00:00:00Z,,male,samurai,256605013,Q2496284
157,,,,,male,samurai,260846183,Q7820079
158,0847-01-01T00:00:00Z,,0919-01-16T00:00:00Z,,male,philosopher,26994934,Q2399435
159,1733-10-20T00:00:00Z,Yaraich?,1817-06-01T00:00:00Z,,male,translator,69768333,Q1385286
160,1858-01-25T00:00:00Z,Toba,1954-09-21T00:00:00Z,,male,entrepreneur,57938597,Q956283
161,1876-01-12T00:00:00Z,Yamaguchi Prefecture,1964-05-14T00:00:00Z,University of Tokyo,male,pathologist,68015183,Q6391549
162,1728-01-01T00:00:00Z,Q11490891,1780-01-24T00:00:00Z,,male,physician,48096126,Q968242
163,1872-09-01T00:00:00Z,,1940-03-13T00:00:00Z,,male,,3282548,Q11467742
164,1781-05-01T00:00:00Z,,1849-07-13T00:00:00Z,,,,65311315,Q6536628
165,1329-01-01T00:00:00Z,,1392-03-25T00:00:00Z,,male,samurai,21236149,Q1139739
166,1850-04-23T00:00:00Z,,1921-08-11T00:00:00Z,,male,agronomist,8709604,Q11397625
167,1106-01-01T00:00:00Z,,1180-06-27T00:00:00Z,,male,poet,25948293,Q164948
168,1118-06-14T00:00:00Z,,1201-04-28T00:00:00Z,,male,bushi,26994733,Q11406057
169,1768-05-25T00:00:00Z,Inaba Province,1843-04-26T00:00:00Z,,male,poet,72721337,Q1721095
170,1835-01-10T00:00:00Z,?saka,1901-02-03T00:00:00Z,,male,philosopher,71431899,Q355447
171,1823-03-12T00:00:00Z,Edo,1899-01-19T00:00:00Z,,male,politician,13108194,Q700470
172,1530-02-10T00:00:00Z,Japan,1587-06-11T00:00:00Z,,male,samurai,60454824,Q1185032
173,0912-10-15T00:00:00Z,?mi Province,0985-01-26T00:00:00Z,,male,,72339015,Q543930
174,1755-01-01T00:00:00Z,Q11541403,1836-01-01T00:00:00Z,,male,explorer,113823863,Q4141812
175,1870-02-23T00:00:00Z,Okazaki,1954-02-12T00:00:00Z,University of Tokyo,male,engineer,53243079,Q451062
176,1840-10-16T00:00:00Z,Kagoshima Castle,1900-08-23T00:00:00Z,,male,samurai,42593677,Q714049
177,0586-01-01T00:00:00Z,,0645-07-14T00:00:00Z,,male,politician,18478337,Q1292368
178,0700-01-01T00:00:00Z,,0645-07-13T00:00:00Z,,male,,16025497,Q736621
179,0572-02-07T00:00:00Z,,0622-04-11T00:00:00Z,,male,politician,54960657,Q263972
180,1730-06-21T00:00:00Z,Matsusaka,1801-10-05T00:00:00Z,,male,poet,19686423,Q384647
181,1118-01-01T00:00:00Z,Kyoto,1190-01-01T00:00:00Z,,male,poet,2539442,Q224689
182,1745-11-29T00:00:00Z,,1833-03-06T00:00:00Z,,male,,70249633,Q8013051
183,1533-10-22T00:00:00Z,Fukui Prefecture,1573-10-16T00:00:00Z,,male,politician,40714819,Q1322768
184,1234-01-01T00:00:00Z,Japan,1289-01-01T00:00:00Z,,male,bhikkhuni,28407194,Q1056232
185,0976-01-01T00:00:00Z,Echizen Province,1033-01-01T00:00:00Z,,female,poet,79397628,Q239898
186,1561-02-08T00:00:00Z,Q11605947,1619-10-19T00:00:00Z,,male,philosopher,25407659,Q655390
187,1801-06-23T00:00:00Z,Nirayama Daikansho,1855-03-01T00:00:00Z,,male,samurai,67875776,Q366267
188,1793-10-20T00:00:00Z,Q17215107,1841-11-23T00:00:00Z,,male,painter,96574339,Q3130609
189,1847-08-23T00:00:00Z,Kagoshima Prefecture,1889-02-12T00:00:00Z,University College London,male,diplomat,37680159,Q1194472
190,1127-10-18T00:00:00Z,Kyoto,1192-04-26T00:00:00Z,,male,,49653585,Q317984
191,1782-05-22T00:00:00Z,Mameda,1856-11-28T00:00:00Z,,male,poet,20493520,Q1620267
192,1776-03-24T00:00:00Z,Kagoshima,1849-01-13T00:00:00Z,,male,samurai,31926796,Q2814495
193,1828-04-26T00:00:00Z,Chiba Prefecture,1902-08-18T00:00:00Z,,male,politician,47602715,Q3022461
194,0767-09-15T00:00:00Z,?mi Province,0822-06-26T00:00:00Z,,male,bhikkhu,19909768,Q449943
195,1865-01-23T00:00:00Z,Asakusa,1917-03-15T00:00:00Z,Azabu High School,male,critic,2645375,Q11470965
196,0942-01-01T00:00:00Z,,1017-07-18T00:00:00Z,,male,bhikkhu,52770407,Q1009263
197,0793-01-01T00:00:00Z,Shimotsuke Province,0864-02-24T00:00:00Z,,male,priest,284701464,Q732282
198,1840-02-13T00:00:00Z,Musashi Province,1931-11-11T00:00:00Z,,male,entrepreneur,42647346,Q704995
199,1657-03-24T00:00:00Z,Edo,1725-06-29T00:00:00Z,,male,economist,50022747,Q467616
200,1835-01-24T00:00:00Z,J?etsu,1919-04-27T00:00:00Z,,male,politician,72841328,Q282292
201,0814-01-01T00:00:00Z,,0891-01-01T00:00:00Z,,male,bhikkhu,11146250,Q1972505
202,1832-06-21T00:00:00Z,Akune,1893-06-06T00:00:00Z,University College London,male,diplomat,76164816,Q249025
203,0832-03-11T00:00:00Z,,0909-08-29T00:00:00Z,,male,,257568927,Q11610974
204,1149-01-01T00:00:00Z,,1202-11-07T00:00:00Z,,male,samurai,29116898,Q11564317
205,1809-04-28T00:00:00Z,Edo,1858-07-16T00:00:00Z,,male,samurai,62353205,Q1143856
206,1775-12-23T00:00:00Z,Ikenohata,1835-08-27T00:00:00Z,,male,,1346286,Q6562122
207,0972-01-01T00:00:00Z,,1028-01-09T00:00:00Z,,male,Kugy?,206125777,Q3076818
208,1836-06-12T00:00:00Z,Edo,1909-07-19T00:00:00Z,Sh?heizaka Gakumonjo,male,samurai,14672613,Q2813872
209,1306-01-01T00:00:00Z,,1373-09-20T00:00:00Z,,male,bushi,,Q1036907
210,1547-01-01T00:00:00Z,,1611-07-13T00:00:00Z,,male,samurai,14672621,Q1144171
211,1716-01-01T00:00:00Z,Settsu Province,1783-12-25T00:00:00Z,,male,painter,120725614,Q31523
212,1680-11-05T00:00:00Z,Iida,1747-07-07T00:00:00Z,,male,political scientist,67528531,Q6563258
213,0659-01-01T00:00:00Z,,0720-09-17T00:00:00Z,,male,statesman,16336858,Q177517
214,1604-08-12T00:00:00Z,Edo Castle,1651-06-08T00:00:00Z,,male,politician,20493499,Q314481
215,1801-04-25T00:00:00Z,,1868-04-07T00:00:00Z,,male,,1398578,Q3532613
216,1428-10-17T00:00:00Z,,,,,,252023248,Q11353943
217,1806-05-04T00:00:00Z,Mito,1855-11-11T00:00:00Z,,male,,27862907,Q6564466
218,1646-02-23T00:00:00Z,Tokyo,1709-02-19T00:00:00Z,,male,samurai,52853623,Q313745
219,1421-01-01T00:00:00Z,Japan,1502-01-01T00:00:00Z,,male,poet,60191368,Q923562
220,1118-01-01T00:00:00Z,Japan,1181-03-27T00:00:00Z,,male,samurai,62932224,Q281833
221,,,0941-01-01T00:00:00Z,,male,,54055745,Q1187731
222,0684-01-01T00:00:00Z,,0729-01-01T00:00:00Z,,male,politician,78630116,Q1963492
223,1410-01-01T00:00:00Z,,1466-03-31T00:00:00Z,,male,samurai,26704671,Q674269
224,1847-12-08T00:00:00Z,K?chi,1901-12-13T00:00:00Z,,male,journalist,67781982,Q2972146
225,1078-01-01T00:00:00Z,,1162-07-31T00:00:00Z,,male,writer,76624569,Q718939
226,1624-11-29T00:00:00Z,,1681-07-04T00:00:00Z,,male,samurai,4579054,Q7402769
227,1855-06-12T00:00:00Z,Tokyo,1905-04-13T00:00:00Z,,male,economist,57386053,Q4121064
228,1567-12-18T00:00:00Z,,1643-01-15T00:00:00Z,,male,samurai,77578228,Q1071770
229,1556-01-01T00:00:00Z,Ibaraki,1615-06-24T00:00:00Z,,male,samurai,4577675,Q1882775
230,1888-01-30T00:00:00Z,Yamagata,1956-01-28T00:00:00Z,Waseda University,male,journalist,21067139,Q3525556
231,1251-06-12T00:00:00Z,,1284-04-27T00:00:00Z,,male,politician,45654280,Q430964
232,1858-08-02T00:00:00Z,,1919-03-04T00:00:00Z,,male,pastor,75253054,Q11495535
233,1839-09-27T00:00:00Z,Ch?sh? Domain,1867-05-17T00:00:00Z,,male,samurai,32802539,Q700310
234,1725-10-15T00:00:00Z,,1789-11-23T00:00:00Z,,male,,46704508,Q11547699
235,1571-01-01T00:00:00Z,Sendai Domain,1622-08-07T00:00:00Z,,male,diplomat,18567402,Q244764
236,1278-01-01T00:00:00Z,,1333-07-04T00:00:00Z,,male,,,Q1083385
237,0980-01-01T00:00:00Z,Kyoto,1011-01-01T00:00:00Z,,male,,41342345,Q449540
238,1868-04-12T00:00:00Z,Matsuyama,1918-02-04T00:00:00Z,Imperial Japanese Naval Academy,male,military personnel,13843539,Q709211
239,1148-01-01T00:00:00Z,,1225-07-16T00:00:00Z,,male,,257336528,Q384829
240,1301-01-01T00:00:00Z,,1338-08-25T00:00:00Z,,male,bushi,6348759,Q1328796
241,1327-01-01T00:00:00Z,,1387-09-01T00:00:00Z,,male,,,Q11636796
242,1848-01-04T00:00:00Z,Yamaguchi Prefecture,1913-10-10T00:00:00Z,,male,politician,890041,Q159048
243,0952-01-01T00:00:00Z,,1012-08-06T00:00:00Z,,male,poet,117990869,Q2395120
244,1254-01-01T00:00:00Z,,1332-04-16T00:00:00Z,,male,poet,59882736,Q538046
245,1628-07-11T00:00:00Z,,1701-01-14T00:00:00Z,,male,samurai,52528780,Q1194944
246,1677-01-01T00:00:00Z,,1752-02-03T00:00:00Z,,male,judge,69733604,Q1054143
247,1857-11-30T00:00:00Z,Hirosaki,1907-09-02T00:00:00Z,,male,journalist,50572075,Q3200221
248,1879-08-31T00:00:00Z,Tokyo,1926-12-25T00:00:00Z,,male,,64809883,Q157052
249,1754-01-01T00:00:00Z,,1829-08-18T00:00:00Z,,,,54951356,Q11619285
250,0630-01-01T00:00:00Z,,0690-01-01T00:00:00Z,,female,poet,308693431,Q119461
251,0966-01-01T00:00:00Z,Kyoto,1028-01-03T00:00:00Z,,male,politician,109643542,Q433133
252,,,,,,,,Q1872031
253,1607-01-01T00:00:00Z,Japan,1678-01-01T00:00:00Z,,female,,45613364,Q911334
254,1386-03-20T00:00:00Z,,1428-02-12T00:00:00Z,,male,samurai,29479123,Q466287
255,1519-01-01T00:00:00Z,Shizuoka,1560-06-12T00:00:00Z,,male,samurai,76269408,Q1054305
256,1763-01-01T00:00:00Z,Edo,1825-01-01T00:00:00Z,,female,philologist,62693565,Q6536598
257,0774-01-01T00:00:00Z,,0824-01-01T00:00:00Z,,male,bhikkhu,76097701,Q353558
258,1363-01-01T00:00:00Z,Japan,1443-01-01T00:00:00Z,,male,stage actor,32005662,Q169352
259,1849-08-24T00:00:00Z,Mutsu Province,1923-12-29T00:00:00Z,,male,politician,26014043,Q4121067
260,1404-07-06T00:00:00Z,,1473-04-15T00:00:00Z,,male,samurai,29421390,Q1355689
261,1198-07-18T00:00:00Z,,1261-12-03T00:00:00Z,,male,,3728929,Q373083
262,1209-01-01T00:00:00Z,,1283-01-01T00:00:00Z,,female,poet,45628816,Q336103
263,,,0733-02-04T00:00:00Z,,female,,,Q11582685
264,1139-01-01T00:00:00Z,,1203-08-29T00:00:00Z,,male,bhikkhu,255878594,Q11080166
265,1884-04-04T00:00:00Z,Nagaoka,1943-04-18T00:00:00Z,Harvard University,male,military officer,811635,Q152325
266,1596-12-19T00:00:00Z,,1662-05-04T00:00:00Z,,male,samurai,164563255,Q6788056
267,0660-01-01T00:00:00Z,,0733-01-01T00:00:00Z,,male,poet,67864930,Q1273642
268,0600-01-01T00:00:00Z,Korean Peninsula,,,male,,,Q5680877
269,1828-10-17T00:00:00Z,Saga,1905-01-31T00:00:00Z,,male,calligrapher,28606019,Q702789
270,1835-12-03T00:00:00Z,Kagoshima,1870-08-16T00:00:00Z,,male,samurai,18548396,Q703847
271,1759-01-15T00:00:00Z,Edo,1829-06-14T00:00:00Z,,male,philosopher,121832380,Q284038
272,1534-06-23T00:00:00Z,Nagoya Castle,1582-06-21T00:00:00Z,,male,daimyo,74652663,Q171411
273,0894-01-01T00:00:00Z,,0966-02-14T00:00:00Z,,male,calligrapher,28400845,Q1439775
274,1227-07-06T00:00:00Z,,1263-12-24T00:00:00Z,,male,samurai,3729428,Q1354410
275,1886-01-28T00:00:00Z,?saka,1976-01-19T00:00:00Z,University of Tokyo,male,engineer,113075349,Q1347561
276,1861-11-24T00:00:00Z,Kagoshima Prefecture,1949-01-25T00:00:00Z,University of Tokyo,male,diplomat,65431704,Q920993
277,1837-10-28T00:00:00Z,Edo,1913-11-22T00:00:00Z,,male,photographer,72195136,Q287657
278,1884-09-25T00:00:00Z,Tokyo,1973-04-25T00:00:00Z,Waseda University,male,journalist,3884781,Q351656
279,1587-01-01T00:00:00Z,Harima Province,1645-05-19T00:00:00Z,,male,painter,96574356,Q193344
280,1568-01-01T00:00:00Z,,1595-08-20T00:00:00Z,,male,samurai,68878102,Q967501
281,1787-09-04T00:00:00Z,,1856-11-17T00:00:00Z,,male,economist,62355718,Q968964
282,0485-01-01T00:00:00Z,,0531-02-11T00:00:00Z,,male,,39237645,Q349277
283,1546-02-11T00:00:00Z,,1614-02-26T00:00:00Z,,male,samurai,77634971,Q839377
284,,,1002-11-27T00:00:00Z,,male,,76250427,Q9383388
285,0626-01-01T00:00:00Z,,0672-01-01T00:00:00Z,,male,,259810447,Q314802
286,0662-01-01T00:00:00Z,,0710-01-01T00:00:00Z,,male,poet,266605466,Q380818
287,0988-01-01T00:00:00Z,,1075-08-27T00:00:00Z,,male,,,Q3082851
288,1611-06-17T00:00:00Z,Edo,1673-02-04T00:00:00Z,,male,samurai,33457587,Q837236
